Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,2673040,2673040,256,256,0,0,8,8,32,64,0x0,0x7f27ed9cd900,35177,35177,23110,281424,4,5589,7109,0,22504,772249252476868,772253266118265,772253266125465,772249261318117
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,2673040,2673040,256,256,0,0,8,8,32,64,0x0,0x7f27ed9cd900,13653,13653,10581,109232,4,2614,4169,0,10588,772249261194002,772253266125465,772253266132665,772249261578810
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 256, 4, 2, 8, 4, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 4, Sequence, 5, Argument) (kd)",2,0,2,2673040,2673040,29568,64,512,0,68,68,32,64,0x0,0x7f27ed984e40,38279,38279,33667,306240,462,2785025,200872,0,11152752,772249261913132,772253266607542,772253266623382,772249262031636
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,2673040,2673040,256,256,0,0,8,8,32,64,0x0,0x7f27ed9cd900,36265,36265,21916,290128,4,5134,6637,0,20668,772249266977830,772253271768005,772253271777605,772249267099160
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 256, 4, 2, 8, 4, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 4, Sequence, 5, Argument) (kd)",2,0,5,2673040,2673040,29568,64,512,0,68,68,32,64,0x0,0x7f27ed984e40,38602,38602,33953,308824,462,2634781,191178,0,10551828,772249267069173,772253271777605,772253271791845,772249267229075
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 256, 4, 2, 8, 4, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 4, Sequence, 5, Argument) (kd)",2,0,8,2673040,2673040,29568,64,512,0,68,68,32,64,0x0,0x7f27ed984e40,28124,28124,24483,225000,462,1546548,120245,0,6199000,772249267219256,772253271818565,772253271828165,772249267408795
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 256, 4, 2, 8, 4, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 4, Sequence, 5, Argument) (kd)",2,0,9,2673040,2673040,29568,64,512,0,68,68,32,64,0x0,0x7f27ed984e40,26728,26728,20881,213832,462,1035637,84945,0,4155440,772249267389789,772253271828165,772253271835205,772249267513403
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 256, 4, 2, 8, 4, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 4, Sequence, 5, Argument) (kd)",2,0,10,2673040,2673040,29568,64,512,0,68,68,32,64,0x0,0x7f27ed984e40,25228,25228,21557,201832,462,1270088,98516,0,5093080,772249267457768,772253271835205,772253271842245,772249267671782
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 256, 4, 2, 8, 4, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 4, Sequence, 5, Argument) (kd)",2,0,11,2673040,2673040,29568,64,512,0,68,68,32,64,0x0,0x7f27ed984e40,27458,27458,20797,219672,462,1248846,98680,0,5007964,772249267654690,772253271842245,772253271849285,772249267760219
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 256, 4, 2, 8, 4, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 4, Sequence, 5, Argument) (kd)",2,0,12,2673040,2673040,29568,64,512,0,68,68,32,64,0x0,0x7f27ed984e40,25630,25630,21974,205048,462,1271385,99134,0,5098136,772249267722127,772253271849285,772253271856485,772249267936343
