Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,3428755,3428755,256,256,0,0,8,8,32,64,0x0,0x7f0e71db5900,34813,34813,4,21,53,6720,523044645585212,523041668368058,523041668376378,523044653162474
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,3428755,3428755,256,256,0,0,8,8,32,64,0x0,0x7f0e71db5900,16193,16193,4,21,14,2108,523044653125864,523041668376378,523041668383738,523044653367271
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 64, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,3428755,3428755,29568,32,512,0,32,32,32,64,0x0,0x7f0e71d84dc0,29449,29449,924,55440,43584,5569432,523044653699971,523041669065655,523041669075735,523044653794840
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,3428755,3428755,256,256,0,0,8,8,32,64,0x0,0x7f0e71db5900,35090,35090,4,21,52,6564,523044659436820,523041750252705,523041750260225,523044659558470
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 64, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,3428755,3428755,29568,32,512,0,32,32,32,64,0x0,0x7f0e71d84dc0,32276,32276,924,55440,44719,5748224,523044659529715,523041750268705,523041750279743,523044659674870
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 64, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,3428755,3428755,29568,32,512,0,32,32,32,64,0x0,0x7f0e71d84dc0,25086,25086,924,55440,6911,887060,523044659681353,523041750314303,523041750321823,523044659836947
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 64, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,3428755,3428755,29568,32,512,0,32,32,32,64,0x0,0x7f0e71d84dc0,21690,21690,924,55440,6912,887052,523044659820496,523041750321823,523041750327103,523044659984416
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 64, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,3428755,3428755,29568,32,512,0,32,32,32,64,0x0,0x7f0e71d84dc0,22385,22385,924,55440,6939,887052,523044659969819,523041750327103,523041750332063,523044660140902
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 64, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,3428755,3428755,29568,32,512,0,32,32,32,64,0x0,0x7f0e71d84dc0,23511,23511,924,55440,6857,887044,523044660125583,523041750335743,523041750340863,523044660240801
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 64, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,3428755,3428755,29568,32,512,0,32,32,32,64,0x0,0x7f0e71d84dc0,21248,21248,924,55440,6938,887060,523044660202479,523041750340863,523041750345823,523044660386557
