kernel,time_us,bw_TBps,SQ_LDS_BANK_CONFLICT,SQ_INSTS_LDS,SQ_INSTS_LDS_LOAD,SQ_INSTS_LDS_STORE
01_row_major,14.08,4.77,3670016,294912,262144,32768
02_column_major,12.25,5.48,1572864,294912,32768,262144
03_row_major_padded,11.93,5.62,786432,327680,262144,65536
05_xor_plus_padding,12.42,5.40,0,294912,262144,32768
08_xor_cross_warp_window_reinterpret,11.88,5.65,0,65536,32768,32768
10_m_vector_store,12.69,5.29,0,294912,262144,32768
