"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,175323059,58441019,99.61939090453329
"hipLaunchKernel",12,522369,43530,0.2968125351235752
"hipEventSynchronize",1,36499,36499,0.020738904336733942
"hipDeviceSynchronize",1,36359,36359,0.020659355674931077
"hipMalloc",3,23694,7898,0.013463042805407655
"hipMemset",3,19966,6655,0.011344775582542805
"hipFree",3,13015,4338,0.007395184524030583
"hipEventRecord",2,9218,4609,0.005237711174991465
"hipGetDeviceProperties",3,2374,791,0.0013489180222857166
"hipEventElapsedTime",1,1382,1382,0.0007852589329397054
"__hipPushCallConfiguration",12,1351,112,0.0007676445863976425
"hipEventCreate",2,1322,661,0.0007511666493099062
"__hipPopCallConfiguration",12,1283,106,0.0007290066649505368
"hipGetLastError",12,752,62,0.0004272899548268151
"hipGetDevice",3,261,87,0.00014830143378962598
