Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,3886987,3886987,256,256,0,0,8,8,32,64,0x0,0x7f3706f7d900,33176,33176,4,21,49,6532,863196371312999,863194043722499,863194043729859,863196378918993
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,3886987,3886987,256,256,0,0,8,8,32,64,0x0,0x7f3706f7d900,13496,13496,4,21,15,2044,863196378791502,863194043729859,863194043737059,863196379286819
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,3886987,3886987,29568,16,512,0,24,24,32,64,0x0,0x7f3706f4cdc0,32012,32012,1848,88704,50789,6508272,863196379304692,863194044179297,863194044189057,863196379489011
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,3886987,3886987,256,256,0,0,8,8,32,64,0x0,0x7f3706f7d900,36325,36325,4,21,50,6324,863196385269773,863194049357525,863194049366645,863196385393757
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,3886987,3886987,29568,16,512,0,24,24,32,64,0x0,0x7f3706f4cdc0,35052,35052,1848,88704,49439,6306920,863196385363150,863194049366645,863194049375925,863196385500940
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,3886987,3886987,29568,16,512,0,24,24,32,64,0x0,0x7f3706f4cdc0,27116,27116,1848,88704,11038,1419336,863196385500519,863194049429365,863194049436885,863196385662045
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,3886987,3886987,29568,16,512,0,24,24,32,64,0x0,0x7f3706f4cdc0,29890,29890,1848,88704,11111,1419412,863196385643650,863194049436885,863194049442805,863196385743449
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,3886987,3886987,29568,16,512,0,24,24,32,64,0x0,0x7f3706f4cdc0,21926,21926,1848,88704,11327,1419392,863196385708773,863194049442805,863194049448405,863196385906898
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,3886987,3886987,29568,16,512,0,24,24,32,64,0x0,0x7f3706f4cdc0,23001,23001,1848,88704,11037,1419428,863196385892621,863194049448405,863194049454005,863196386047854
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,3886987,3886987,29568,16,512,0,24,24,32,64,0x0,0x7f3706f4cdc0,24018,24018,1848,88704,11052,1419388,863196386031313,863194049457845,863194049463445,863196386142103
