"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",13,348299862,26792297.076923,100.00,985,210348969,66905657.182646
"KERNEL_DISPATCH",1,11025,11025.000000,3.165e-03,11025,11025,0.00000000e+00
