Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,3239232,3239232,256,256,0,0,8,8,32,64,0x0,0x7f5cf5a6d900,34064,34064,4,21,49,6752,517991773873455,517994694951047,517994694958567,517991781345306
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,3239232,3239232,256,256,0,0,8,8,32,64,0x0,0x7f5cf5a6d900,13351,13351,4,21,13,1856,517991781218136,517994694958567,517994694966087,517991781569500
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 4, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,3239232,3239232,14784,64,1024,0,116,116,32,64,0x0,0x7f5bf51c4ec0,47100,47100,231,46431,49630,6358688,517991781876751,517994695541124,517994695564323,517991781985427
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,3239232,3239232,256,256,0,0,8,8,32,64,0x0,0x7f5cf5a6d900,35632,35632,4,21,44,6180,517991786983689,517994700476627,517994700486546,517991787118975
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 4, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,3239232,3239232,14784,64,1024,0,116,116,32,64,0x0,0x7f5bf51c4ec0,59397,59397,231,46431,52279,6708388,517991787089750,517994700486546,517994700507026,517991787222962
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 4, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,3239232,3239232,14784,64,1024,0,116,116,32,64,0x0,0x7f5bf51c4ec0,28128,28128,231,46431,5851,742896,517991787245454,517994700535026,517994700544786,517991787398083
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 4, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,3239232,3239232,14784,64,1024,0,116,116,32,64,0x0,0x7f5bf51c4ec0,29250,29250,231,46431,5886,742896,517991787378747,517994700544786,517994700552146,517991787483545
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 4, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,3239232,3239232,14784,64,1024,0,116,116,32,64,0x0,0x7f5bf51c4ec0,25938,25938,231,46431,5785,742896,517991787450903,517994700552146,517994700559506,517991787649989
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 4, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,3239232,3239232,14784,64,1024,0,116,116,32,64,0x0,0x7f5bf51c4ec0,32067,32067,231,46431,5880,742896,517991787631805,517994700559506,517994700566866,517991787729009
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 4, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,3239232,3239232,14784,64,1024,0,116,116,32,64,0x0,0x7f5bf51c4ec0,26156,26156,231,46431,5777,742896,517991787697690,517994700592466,517994700599826,517991787888290
