Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_LDS,SQ_INST_LEVEL_LDS,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,3227929,3227929,256,256,0,0,8,8,32,64,0x0,0x7f86d789d900,0,0,0,517797117490817,517798633376324,517798633384004,517797125040336
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,3227929,3227929,256,256,0,0,8,8,32,64,0x0,0x7f86d789d900,0,0,0,517797124914007,517798633384004,517798633391364,517797125260833
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,3227929,3227929,14784,64,512,0,76,76,32,64,0x0,0x7f86d7864ec0,3927,1998,233402,517797125559147,517798633856961,517798633872641,517797125655079
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,3227929,3227929,256,256,0,0,8,8,32,64,0x0,0x7f86d789d900,0,0,0,517797130691174,517798639408942,517798639418382,517797130802023
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,3227929,3227929,14784,64,512,0,76,76,32,64,0x0,0x7f86d7864ec0,3927,1991,235884,517797130772678,517798639418382,517798639432782,517797130905750
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,3227929,3227929,14784,64,512,0,76,76,32,64,0x0,0x7f86d7864ec0,3927,1755,234421,517797130911510,517798639456942,517798639464942,517797131063698
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,3227929,3227929,14784,64,512,0,76,76,32,64,0x0,0x7f86d7864ec0,3927,1767,234469,517797131045855,517798639464942,517798639470702,517797131142066
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,3227929,3227929,14784,64,512,0,76,76,32,64,0x0,0x7f86d7864ec0,3927,1837,234376,517797131104556,517798639470702,517798639476302,517797131289986
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,3227929,3227929,14784,64,512,0,76,76,32,64,0x0,0x7f86d7864ec0,3927,1771,234284,517797131274918,517798639476302,517798639482062,517797131381890
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,3227929,3227929,14784,64,512,0,76,76,32,64,0x0,0x7f86d7864ec0,3927,1866,234436,517797131335222,517798639482062,517798639487822,517797131526564
