Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,3224682,3224682,256,256,0,0,8,8,32,64,0x0,0x7fa70c415900,34376,34376,21922,275016,4,4687,6477,0,18860,517792321480626,517798633376324,517798633384004,517792329108303
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,3224682,3224682,256,256,0,0,8,8,32,64,0x0,0x7fa70c415900,13686,13686,10441,109496,4,2495,3965,0,10124,517792328984088,517798633384004,517798633391364,517792329375639
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,3224682,3224682,14784,64,512,0,76,76,32,64,0x0,0x7fa60c374ec0,39560,39560,34944,316488,231,1460898,206065,0,5849924,517792329590415,517798633856961,517798633872641,517792329701766
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,3224682,3224682,256,256,0,0,8,8,32,64,0x0,0x7fa70c415900,36622,36622,21770,292984,4,4736,6561,0,19076,517792334529817,517798639408942,517798639418382,517792334653982
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,3224682,3224682,14784,64,512,0,76,76,32,64,0x0,0x7fa60c374ec0,42874,42874,38470,343000,231,1382516,197172,0,5536400,517792334625047,517798639418382,517798639432782,517792334772125
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,3224682,3224682,14784,64,512,0,76,76,32,64,0x0,0x7fa60c374ec0,26190,26190,22375,209528,231,714299,106052,0,2863504,517792334773217,517798639456942,517798639464942,517792334940544
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,3224682,3224682,14784,64,512,0,76,76,32,64,0x0,0x7fa60c374ec0,25639,25639,20300,205120,231,496057,75150,0,1990476,517792334922560,517798639464942,517798639470702,517792335045973
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,3224682,3224682,14784,64,512,0,76,76,32,64,0x0,0x7fa60c374ec0,23790,23790,19961,190328,231,604618,90923,0,2424772,517792334996039,517798639470702,517798639476302,517792335200786
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,3224682,3224682,14784,64,512,0,76,76,32,64,0x0,0x7fa60c374ec0,27018,27018,20286,216152,231,616439,92235,0,2472080,517792335184625,517798639476302,517798639482062,517792335288853
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,3224682,3224682,14784,64,512,0,76,76,32,64,0x0,0x7fa60c374ec0,24190,24190,20349,193528,231,627171,94502,0,2515008,517792335251522,517798639482062,517798639487822,517792335463263
