Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,3225980,3225980,256,256,0,0,8,8,32,64,0x0,0x7fee8f055900,33160,33160,4,21,48,6296,517794253487220,517798633376324,517798633384004,517794260975773
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,3225980,3225980,256,256,0,0,8,8,32,64,0x0,0x7fee8f055900,13128,13128,4,21,15,1976,517794260851859,517798633384004,517798633391364,517794261186151
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,3225980,3225980,14784,64,512,0,76,76,32,64,0x0,0x7fee8f014ec0,37047,37047,231,29799,30530,3913964,517794261530773,517798633856961,517798633872641,517794261634209
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,3225980,3225980,256,256,0,0,8,8,32,64,0x0,0x7fee8f055900,35581,35581,4,21,53,7156,517794266652180,517798639408942,517798639418382,517794266767398
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,3225980,3225980,14784,64,512,0,76,76,32,64,0x0,0x7fee8f014ec0,43520,43520,231,29799,34397,4406404,517794266738332,517798639418382,517798639432782,517794266882115
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,3225980,3225980,14784,64,512,0,76,76,32,64,0x0,0x7fee8f014ec0,25622,25622,231,29799,3699,476784,517794266870402,517798639456942,517798639464942,517794267043870
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,3225980,3225980,14784,64,512,0,76,76,32,64,0x0,0x7fee8f014ec0,24676,24676,231,29799,3759,476784,517794267026688,517798639464942,517798639470702,517794267137257
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,3225980,3225980,14784,64,512,0,76,76,32,64,0x0,0x7fee8f014ec0,23190,23190,231,29799,3764,476784,517794267094887,517798639470702,517798639476302,517794267309002
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,3225980,3225980,14784,64,512,0,76,76,32,64,0x0,0x7fee8f014ec0,26650,26650,231,29799,3705,476784,517794267293362,517798639476302,517798639482062,517794267405645
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,3225980,3225980,14784,64,512,0,76,76,32,64,0x0,0x7fee8f014ec0,22582,22582,231,29799,3761,476784,517794267369777,517798639482062,517798639487822,517794267570817
10,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,13,3225980,3225980,14784,64,512,0,76,76,32,64,0x0,0x7fee8f014ec0,23217,23217,231,29799,3678,476784,517794267555217,517798639487822,517798639493742,517794267659455
11,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,14,3225980,3225980,14784,64,512,0,76,76,32,64,0x0,0x7fee8f014ec0,22344,22344,231,29799,3727,476784,517794267622735,517798639493742,517798639499342,517794267818055
12,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 128, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,15,3225980,3225980,14784,64,512,0,76,76,32,64,0x0,0x7fee8f014ec0,23038,23038,231,29799,3646,476784,517794267802585,517798639499342,517798639505102,517794267905159
