Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,3405907,3405907,256,256,0,0,8,8,32,64,0x0,0x7f13a22f5900,16,598,76128,522563886468589,522566125338148,522566125346148,522563895447794
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,3405907,3405907,256,256,0,0,8,8,32,64,0x0,0x7f13a22f5900,16,310,39744,522563895321455,522566125346148,522566125353668,522563895955776
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 2, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,3405907,3405907,59136,64,512,0,32,32,48,64,0x0,0x7f13a22c4d80,2772,41560,5331344,522563895938453,522566126157185,522566126169505,522563896155915
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,3405907,3405907,256,256,0,0,8,8,32,64,0x0,0x7f13a22f5900,16,660,84160,522563901414829,522566214306316,522566214313196,522563901533033
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 2, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,3405907,3405907,59136,64,512,0,32,32,48,64,0x0,0x7f13a22c4d80,2772,20758,2665776,522563901504309,522566214321036,522566214332234,522563901646277
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 2, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,3405907,3405907,59136,64,512,0,32,32,48,64,0x0,0x7f13a22c4d80,2772,28840,3691684,522563901635797,522566214375114,522566214382634,522563901809957
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 2, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,3405907,3405907,59136,64,512,0,32,32,48,64,0x0,0x7f13a22c4d80,2772,28008,3602044,522563901792574,522566214386314,522566214391914,522563901898625
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 2, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,3405907,3405907,59136,64,512,0,32,32,48,64,0x0,0x7f13a22c4d80,2772,29038,3708016,522563901860272,522566214391914,522566214397034,522563902050202
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 2, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,3405907,3405907,59136,64,512,0,32,32,48,64,0x0,0x7f13a22c4d80,2772,28679,3663172,522563902034993,522566214400714,522566214406154,522563902132848
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 128, 2, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,3405907,3405907,59136,64,512,0,32,32,48,64,0x0,0x7f13a22c4d80,2772,31071,3968680,522563902095788,522566214406154,522566214411274,522563902272783
