Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,3499252,3499252,256,256,0,0,8,8,32,64,0x0,0x7f04496ad900,34458,34458,4,21,53,6884,524221316351117,524214969188754,524214969196434,524221325771333
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,3499252,3499252,256,256,0,0,8,8,32,64,0x0,0x7f04496ad900,13640,13640,4,21,15,2108,524221325648751,524214969196434,524214969202994,524221325998222
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,3499252,3499252,29568,16,512,0,24,24,32,64,0x0,0x7f0449684dc0,28035,28035,1848,88704,45609,5852832,524221326314721,524214969758351,524214969769071,524221326428837
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,3499252,3499252,256,256,0,0,8,8,32,64,0x0,0x7f04496ad900,35082,35082,4,21,49,6536,524221332220237,524214975719291,524214975729051,524221332340915
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,3499252,3499252,29568,16,512,0,24,24,32,64,0x0,0x7f0449684dc0,32538,32538,1848,88704,58399,7451152,524221332311830,524214975729051,524214975738331,524221332465551
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,3499252,3499252,29568,16,512,0,24,24,32,64,0x0,0x7f0449684dc0,24680,24680,1848,88704,11066,1419416,524221332479066,524214975766011,524214975773531,524221332628059
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,3499252,3499252,29568,16,512,0,24,24,32,64,0x0,0x7f0449684dc0,23743,23743,1848,88704,11147,1419448,524221332611056,524214975773531,524214975779131,524221332728449
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,3499252,3499252,29568,16,512,0,24,24,32,64,0x0,0x7f0449684dc0,21344,21344,1848,88704,11046,1419452,524221332682531,524214975779131,524214975784891,524221332889634
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,3499252,3499252,29568,16,512,0,24,24,32,64,0x0,0x7f0449684dc0,22209,22209,1848,88704,10969,1419368,524221332875416,524214975784891,524214975790651,524221333005673
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 32, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,3499252,3499252,29568,16,512,0,24,24,32,64,0x0,0x7f0449684dc0,22921,22921,1848,88704,11180,1419380,524221332989853,524214975790651,524214975797691,524221333169483
