Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,3876017,3876017,256,256,0,0,8,8,32,64,0x0,0x7f9cf14bd900,34590,34590,22852,276728,4,4837,6645,0,19444,863022766230042,863024614762931,863024614769811,863022773760913
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,3876017,3876017,256,256,0,0,8,8,32,64,0x0,0x7f9cf14bd900,13317,13317,10245,106544,4,2488,3933,0,10028,863022773638963,863024614769811,863024614777331,863022773928039
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 32, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,3876017,3876017,14784,16,512,0,28,28,32,64,0x0,0x7f9cf148cdc0,29194,29194,23572,233560,924,3390935,127544,0,13589956,863022774180747,863024615207249,863024615217969,863022774290384
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,3876017,3876017,256,256,0,0,8,8,32,64,0x0,0x7f9cf14bd900,36611,36611,22092,292896,4,4837,6665,0,19480,863022779151688,863024620785800,863024620795080,863022779273208
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 32, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,3876017,3876017,14784,16,512,0,28,28,32,64,0x0,0x7f9cf148cdc0,27614,27614,22375,220920,924,3363347,127171,0,13479340,863022779243021,863024620795080,863024620804680,863022779396922
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 32, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,3876017,3876017,14784,16,512,0,28,28,32,64,0x0,0x7f9cf148cdc0,24454,24454,20678,195640,924,2197819,92476,0,8816964,863022779384007,863024620831560,863024620838600,863022779550893
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 32, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,3876017,3876017,14784,16,512,0,28,28,32,64,0x0,0x7f9cf148cdc0,23495,23495,16064,187968,924,1536825,69310,0,6172908,863022779534031,863024620838600,863024620843400,863022779645943
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 32, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,3876017,3876017,14784,16,512,0,28,28,32,64,0x0,0x7f9cf148cdc0,21414,21414,17660,171320,924,1565986,70436,0,6289488,863022779606428,863024620843400,863024620848360,863022779784294
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 32, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,3876017,3876017,14784,16,512,0,28,28,32,64,0x0,0x7f9cf148cdc0,26824,26824,20324,214600,924,1603758,70511,0,6440800,863022779769136,863024620848360,863024620853320,863022779867983
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 32, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,3876017,3876017,14784,16,512,0,28,28,32,64,0x0,0x7f9cf148cdc0,22730,22730,16318,181848,924,1486045,67165,0,5969788,863022779838787,863024620887400,863024620892359,863022780029518
10,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 32, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,13,3876017,3876017,14784,16,512,0,28,28,32,64,0x0,0x7f9cf148cdc0,23987,23987,16323,191904,924,1558374,70106,0,6259064,863022780013077,863024620892359,863024620897159,863022780127313
11,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 32, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,14,3876017,3876017,14784,16,512,0,28,28,32,64,0x0,0x7f9cf148cdc0,21934,21934,18122,175480,924,1588596,70842,0,6380036,863022780090904,863024620897159,863024620901959,863022780285602
12,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 32, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,15,3876017,3876017,14784,16,512,0,28,28,32,64,0x0,0x7f9cf148cdc0,22250,22250,15727,178008,924,1569844,69282,0,6305076,863022780270313,863024620914439,863024620919399,863022780375282
13,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<16, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 4, 32, 4, 2, 4, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,16,3876017,3876017,14784,16,512,0,28,28,32,64,0x0,0x7f9cf148cdc0,21541,21541,17710,172336,924,1588144,71388,0,6378116,863022780341117,863024620925479,863024620930439,863022780529603
