"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,211334127,70444709,99.71317816476632
"hipLaunchKernel",12,467374,38947,0.2205197409104659
"hipFree",3,31150,10383,0.01469741562295081
"hipEventSynchronize",1,26600,26600,0.012550602104991704
"hipMemset",3,23294,7764,0.01099074155765702
"hipMalloc",3,22934,7644,0.010820883784807509
"hipDeviceSynchronize",1,18876,18876,0.008906209223076068
"hipEventRecord",2,9397,4698,0.004433759698519062
"hipGetDeviceProperties",3,1934,644,0.0009125137019193216
"__hipPushCallConfiguration",12,1453,121,0.0006855648443065017
"hipEventCreate",2,1372,686,0.0006473468454153616
"hipEventElapsedTime",1,1283,1283,0.0006053542293497878
"__hipPopCallConfiguration",12,1249,104,0.000589312106358445
"hipGetLastError",12,730,60,0.00034443381716706557
"hipGetDevice",3,250,83,0.00011795678670104984
