Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,3868118,3868118,256,256,0,0,8,8,32,64,0x0,0x7f87fed65900,33097,33097,21340,264784,4,4532,5937,0,18260,862827890954004,862826398943503,862826398950383,862827898616244
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,3868118,3868118,256,256,0,0,8,8,32,64,0x0,0x7f87fed65900,13572,13572,10420,108584,4,2537,4005,0,10296,862827898496498,862826398950383,862826398957743,862827899143972
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 64, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,3868118,3868118,59136,32,512,0,24,24,32,64,0x0,0x7f87fed34dc0,31135,31135,23322,249088,1848,5657912,121994,0,22683712,862827899033262,862826399415820,862826399426060,862827899357025
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,3868118,3868118,256,256,0,0,8,8,32,64,0x0,0x7f87fed65900,36235,36235,21444,289888,4,4846,6257,0,19512,862827905012951,862826405348597,862826405357397,862827905138729
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 64, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,3868118,3868118,59136,32,512,0,24,24,32,64,0x0,0x7f87fed34dc0,26141,26141,19822,209136,1848,5860914,123214,0,23495780,862827905107039,862826405357397,862826405366197,862827905266510
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 64, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,3868118,3868118,59136,32,512,0,24,24,32,64,0x0,0x7f87fed34dc0,25326,25326,19719,202616,1848,3842576,92666,0,15421956,862827905246512,862826405392277,862826405399797,862827905449807
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 64, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,3868118,3868118,59136,32,512,0,24,24,32,64,0x0,0x7f87fed34dc0,27418,27418,19050,219352,1848,3504552,89629,0,14069492,862827905433526,862826405399797,862826405405877,862827905558392
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 64, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,3868118,3868118,59136,32,512,0,24,24,32,64,0x0,0x7f87fed34dc0,23878,23878,18250,191032,1848,2603691,72755,0,10466280,862827905506564,862826405405877,862826405411477,862827905718786
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 64, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,3868118,3868118,59136,32,512,0,24,24,32,64,0x0,0x7f87fed34dc0,27935,27935,19578,223488,1848,2592544,72803,0,10421836,862827905703076,862826405411477,862826405416917,862827905822572
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 64, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,3868118,3868118,59136,32,512,0,24,24,32,64,0x0,0x7f87fed34dc0,22198,22198,16606,177592,1848,2733408,75501,0,10985152,862827905775703,862826405420917,862826405426677,862827905974870
10,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 64, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,13,3868118,3868118,59136,32,512,0,24,24,32,64,0x0,0x7f87fed34dc0,22691,22691,14765,181536,1848,2517943,71550,0,10123488,862827905960413,862826405459797,862826405465557,862827906072224
11,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 64, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,14,3868118,3868118,59136,32,512,0,24,24,32,64,0x0,0x7f87fed34dc0,22582,22582,16945,180664,1848,2600223,72967,0,10452268,862827906035484,862826405465557,862826405471157,862827906249269
12,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 64, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,15,3868118,3868118,59136,32,512,0,24,24,32,64,0x0,0x7f87fed34dc0,26586,26586,18308,212696,1848,2641035,73487,0,10615708,862827906233930,862826405471157,862826405476757,862827906338848
13,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 64, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,16,3868118,3868118,59136,32,512,0,24,24,32,64,0x0,0x7f87fed34dc0,23591,23591,15376,188736,1848,2487339,72145,0,10001040,862827906306387,862826405494197,862826405500117,862827906535079
14,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<32, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 2, 64, 4, 2, 2, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,17,3868118,3868118,59136,32,512,0,24,24,32,64,0x0,0x7f87fed34dc0,23407,23407,15585,187264,1848,2534944,71611,0,10191168,862827906519049,862826405500117,862826405505717,862827906638856
