Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,2728566,2728566,256,256,0,0,8,8,32,64,0x0,0x7f3158995900,34337,34337,22054,274704,4,5045,6637,0,20352,774004949175879,774009227508532,774009227515732,774004956755021
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,2728566,2728566,256,256,0,0,8,8,32,64,0x0,0x7f3158995900,13702,13702,10560,109624,4,2586,4105,0,10468,774004956634844,774009227515732,774009227522932,774004956973324
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 512, 4, 1, 8, 8, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 8, Sequence, 5, Argument) (kd)",2,0,2,2728566,2728566,29568,64,512,0,112,112,48,64,0x0,0x7f3158964d80,48333,48333,43713,386672,462,3843577,280510,0,15386916,774004957286837,774009228044369,774009228066769,774004957406273
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,2728566,2728566,256,256,0,0,8,8,32,64,0x0,0x7f3158995900,35537,35537,20236,284304,4,4770,6349,0,19240,774004963022794,774009233618117,774009233627077,774004963147380
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 512, 4, 1, 8, 8, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 8, Sequence, 5, Argument) (kd)",2,0,5,2728566,2728566,29568,64,512,0,112,112,48,64,0x0,0x7f3158964d80,55389,55389,48924,443120,462,3877545,283143,0,15522828,774004963117253,774009233627077,774009233649957,774004963259422
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 512, 4, 1, 8, 8, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 8, Sequence, 5, Argument) (kd)",2,0,8,2728566,2728566,29568,64,512,0,112,112,48,64,0x0,0x7f3158964d80,33094,33094,29499,264760,462,2115437,162530,0,8474452,774004963285962,774009233677797,774009233691077,774004963451675
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 512, 4, 1, 8, 8, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 8, Sequence, 5, Argument) (kd)",2,0,9,2728566,2728566,29568,64,512,0,112,112,48,64,0x0,0x7f3158964d80,32861,32861,27328,262896,462,1566280,125252,0,6277904,774004963429243,774009233691077,774009233701957,774004963550622
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 512, 4, 1, 8, 8, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 8, Sequence, 5, Argument) (kd)",2,0,10,2728566,2728566,29568,64,512,0,112,112,48,64,0x0,0x7f3158964d80,30884,30884,27260,247080,462,1824196,141354,0,7309468,774004963495077,774009233701957,774009233713157,774004963712859
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 512, 4, 1, 8, 8, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 8, Sequence, 5, Argument) (kd)",2,0,11,2728566,2728566,29568,64,512,0,112,112,48,64,0x0,0x7f3158964d80,37240,37240,28879,297928,462,1783810,138453,0,7148024,774004963691589,774009233713157,774009233724357,774004963797670
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, true, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<64, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 8, 512, 4, 1, 8, 8, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 8, Sequence, 5, Argument) (kd)",2,0,12,2728566,2728566,29568,64,512,0,112,112,48,64,0x0,0x7f3158964d80,31038,31038,27410,248312,462,1852247,143238,0,7421688,774004963758055,774009233724357,774009233735557,774004963974514
